Banner,UPC,Hawaii,Kansas,New York,Northern California,Texas,All
Safeway,312735668.0,,20.29,,,20.49,20.39
Safeway,314205929.0,,39.09,,45.79,,42.44
Safeway,314756902.0,,32.59,,,32.99,32.79
Safeway,315128578.0,,,,,26.79,26.79
Safeway,319176479.0,,54.69,,,55.19,54.94
Safeway,321012038.0,,37.09,,43.49,37.49,39.36
Safeway,321130189.0,,,,47.39,40.79,44.09
Safeway,323385020.0,,,,,45.79,45.79
Safeway,325260449.0,,14.39,,,,14.39
Safeway,325836526.0,,45.59,,53.49,46.09,48.39
Safeway,325885139.0,,,,,31.79,31.79
Safeway,327470693.0,,29.99,,,30.29,30.14
Safeway,327660050.0,,30.89,,36.29,31.29,32.82
Safeway,332493471.0,,29.89,,,30.19,30.04
Safeway,332996724.0,,,,,,
Safeway,333664376.0,,33.59,,,33.99,33.79
Safeway,333868779.0,,16.29,,,16.49,16.39
Safeway,333967502.0,,23.69,,27.79,23.99,25.16
Safeway,336912254.0,,,,,25.09,25.09
Safeway,337353166.0,,48.19,,,48.69,48.44
Safeway,338728090.0,,14.99,,,15.19,15.09
Safeway,338863686.0,,6.39,,,6.39,6.39
Safeway,339400596.0,,14.49,,16.99,14.59,15.36
Safeway,339765937.0,,40.69,,47.69,41.09,43.16
Safeway,340260209.0,,42.69,,,43.19,42.94
Safeway,340478827.0,,7.79,,,7.89,7.84
Safeway,342897052.0,,48.99,,57.49,49.49,51.99
Safeway,346844734.0,,46.89,,,47.29,47.09
Safeway,349132748.0,,,,,31.39,31.39
Safeway,350639776.0,,55.09,,64.69,55.69,58.49
Safeway,352180692.0,,,,,26.89,26.89
Safeway,352259734.0,,19.69,,,19.89,19.79
Safeway,353556196.0,,3.39,,,3.49,3.44
Safeway,353626798.0,,58.19,,68.19,58.69,61.69
Safeway,354630366.0,,29.49,,,29.79,29.64
Safeway,354716417.0,,37.09,,,37.49,37.29
Safeway,355520088.0,,1.89,,,1.89,1.89
Safeway,357064541.0,,55.89,,,,55.89
Safeway,358265858.0,,10.99,,,,10.99
Safeway,360754991.0,,24.49,,28.69,24.69,25.96
Safeway,361415663.0,,26.59,,,26.79,26.69
Safeway,361609713.0,,28.99,,,29.29,29.14
Safeway,361981249.0,,20.59,,24.19,20.79,21.86
Safeway,363196884.0,,5.29,,6.19,5.39,5.62
Safeway,363461563.0,,47.59,,,48.09,47.84
Safeway,363663062.0,,,,,17.79,17.79
Safeway,364526351.0,,,,,,
Safeway,365185443.0,,40.39,,,,40.39
Safeway,365630841.0,,24.49,,28.69,24.69,25.96
Safeway,367626432.0,,52.69,,,53.19,52.94
Safeway,371212986.0,,2.89,,,2.99,2.94
Safeway,371889838.0,,8.29,,9.69,,8.99
Safeway,372268051.0,,1.19,,,1.19,1.19
Safeway,373413450.0,,11.59,,,11.69,11.64
Safeway,373656227.0,,33.79,,39.59,34.09,35.82
Safeway,373709792.0,,14.29,,,14.39,14.34
Safeway,374144563.0,,24.49,,28.69,,26.59
Safeway,374824958.0,,49.09,,,49.59,49.34
Safeway,375780233.0,,1.99,,2.29,1.99,2.09
Safeway,375916960.0,,30.19,,,,30.19
Safeway,375993782.0,,13.49,,,13.69,13.59
Safeway,376153383.0,,24.89,,,25.19,25.04
Safeway,376311065.0,,3.49,,,3.49,3.49
Safeway,376851918.0,,36.39,,,36.79,36.59
Safeway,377295085.0,,2.49,,,,2.49
Safeway,377365657.0,,,,,59.09,59.09
Safeway,381867389.0,,7.59,,,7.69,7.64
Safeway,383193164.0,,38.59,,45.19,38.89,40.89
Safeway,383194572.0,,5.09,,5.89,,5.49
Safeway,383815591.0,,57.39,,67.29,57.99,60.89
Safeway,386428225.0,,16.69,,,16.89,16.79
Safeway,387431034.0,,,,,38.09,38.09
Safeway,387815880.0,,,,15.09,12.99,14.04
Safeway,388197861.0,,25.39,,29.79,25.69,26.96
Safeway,388544851.0,,49.29,,57.79,49.79,52.29
Safeway,391122766.0,,47.99,,,,47.99
Safeway,392781848.0,,36.59,,,36.99,36.79
Safeway,393028851.0,,47.69,,,48.19,47.94
Safeway,394331468.0,,47.69,,55.99,,51.84
Safeway,395515572.0,,20.89,,24.49,21.09,22.16
Safeway,395790602.0,,46.99,,55.09,47.49,49.86
Safeway,396134202.0,,36.79,,,,36.79
Safeway,397250295.0,,27.39,,,27.69,27.54
Safeway,399409590.0,,,,27.89,23.99,25.94
Safeway,400625108.0,,26.99,,,27.19,27.09
Safeway,401436440.0,,26.69,,,26.99,26.84
Safeway,403149940.0,,34.59,,,34.99,34.79
Safeway,405684153.0,,51.59,,,52.19,51.89
Safeway,405988807.0,,39.39,,46.29,,42.84
Safeway,406039511.0,,50.09,,,50.59,50.34
Safeway,414105716.0,,40.49,,47.49,40.89,42.96
Safeway,416414679.0,,28.79,,,29.09,28.94
Safeway,416642778.0,,39.39,,,39.79,39.59
Safeway,416724552.0,,6.49,,,6.59,6.54
Safeway,418444428.0,,16.09,,18.89,16.29,17.09
Safeway,420577775.0,,19.19,,,19.29,19.24
Safeway,421047592.0,,2.99,,3.49,3.09,3.19
Safeway,421176959.0,,59.59,,69.99,,64.79
Safeway,421428384.0,,58.49,,,59.09,58.79
Safeway,421938798.0,,16.29,,,16.39,16.34
Safeway,426268457.0,,13.09,,,,13.09
Safeway,426540728.0,,51.49,,,51.99,51.74
Safeway,426909634.0,,12.89,,15.09,12.99,13.66
Safeway,428456157.0,,25.09,,,25.39,25.24
Safeway,429624919.0,,51.19,,,51.69,51.44
Safeway,430094535.0,,,,,29.89,29.89
Safeway,431156925.0,,37.89,,,38.29,38.09
Safeway,432934258.0,,54.29,,,54.79,54.54
Safeway,433536637.0,,39.19,,,39.59,39.39
Safeway,434688119.0,,14.79,,,14.89,14.84
Safeway,435304991.0,,20.89,,24.49,21.09,22.16
Safeway,436463728.0,,48.09,,56.39,48.59,51.02
Safeway,436491453.0,,56.69,,,,56.69
Safeway,437067209.0,,58.39,,68.49,58.99,61.96
Safeway,437172755.0,,13.49,,,13.69,13.59
Safeway,437637358.0,,,,28.79,24.79,26.79
Safeway,438682627.0,,51.69,,,52.19,51.94
Safeway,440219593.0,,13.19,,15.49,,14.34
Safeway,440309024.0,,31.59,,,,31.59
Safeway,441168504.0,,18.69,,21.89,18.89,19.82
Safeway,441404447.0,,52.29,,,52.79,52.54
Safeway,441453292.0,,,,43.49,37.39,40.44
Safeway,441772088.0,,24.79,,,24.99,24.89
Safeway,441947799.0,,51.49,,60.49,52.09,54.69
Safeway,442236507.0,,,,,46.59,46.59
Safeway,443127155.0,,39.29,,,39.69,39.49
Safeway,445250129.0,,56.49,,,57.09,56.79
Safeway,445351739.0,,34.19,,40.19,34.59,36.32
Safeway,446836510.0,,16.39,,,16.59,16.49
Safeway,447640332.0,,12.29,,,12.39,12.34
Safeway,447858500.0,,21.29,,24.99,21.49,22.59
Safeway,448330081.0,,,,,48.29,48.29
Safeway,449986246.0,,4.99,,,5.09,5.04
Safeway,450309449.0,,26.79,,,26.99,26.89
Safeway,451026029.0,,,,,37.59,37.59
Safeway,451469731.0,,,,,51.29,51.29
Safeway,454788216.0,,,,,33.49,33.49
Safeway,456113225.0,,,,,,
Safeway,456975266.0,,13.59,,,13.79,13.69
Safeway,457695472.0,,,,,52.19,52.19
Safeway,458313112.0,,14.19,,,14.29,14.24
Safeway,458350008.0,,,,,6.79,6.79
Safeway,459605874.0,,17.19,,,17.29,17.24
Safeway,460807284.0,,35.49,,41.69,35.89,37.69
Safeway,461128883.0,,56.29,,,56.89,56.59
Safeway,466810890.0,,,,,,
Safeway,468699741.0,,32.39,,,32.69,32.54
Safeway,470178735.0,,55.29,,,55.89,55.59
Safeway,470692001.0,,14.79,,17.29,,16.04
Safeway,471370637.0,,16.99,,,17.19,17.09
Safeway,472559312.0,,28.49,,33.39,28.79,30.22
Safeway,473279874.0,,24.29,,,,24.29
Safeway,474794200.0,,37.19,,,37.49,37.34
Safeway,475245085.0,,,,55.09,47.49,51.29
Safeway,475672709.0,,,,,,
Safeway,476935693.0,,,,37.69,32.49,35.09
Safeway,477240979.0,,10.29,,,10.39,10.34
Safeway,477539026.0,,,,,48.79,48.79
Safeway,477638150.0,,,,,7.59,7.59
Safeway,479749486.0,,,,,40.69,40.69
Safeway,480476230.0,,21.09,,,21.29,21.19
Safeway,481195187.0,,34.49,,,34.89,34.69
Safeway,481217425.0,,,,,27.39,27.39
Safeway,484526970.0,,,,,4.29,4.29
Safeway,484719492.0,,53.49,,,54.09,53.79
Safeway,486230490.0,,51.99,,,52.49,52.24
Safeway,486482090.0,,31.09,,36.49,31.49,33.02
Safeway,488091787.0,,26.59,,,26.89,26.74
Safeway,488377803.0,,4.39,,,4.49,4.44
Safeway,489000444.0,,8.19,,,8.19,8.19
Safeway,489398729.0,,36.99,,,,36.99
Safeway,492209870.0,,,,,,
Safeway,494020899.0,,47.69,,,48.09,47.89
Safeway,495847520.0,,57.29,,,57.89,57.59
Safeway,496444498.0,,17.09,,,17.29,17.19
Safeway,499640947.0,,0.89,,,0.89,0.89
Safeway,500505797.0,,29.89,,35.09,30.29,31.76
Safeway,502816606.0,,,,,30.69,30.69
Safeway,503341824.0,,,,,28.19,28.19
Safeway,503736553.0,,,,14.49,12.49,13.49
Safeway,503966459.0,,37.59,,,37.89,37.74
Safeway,504139198.0,,54.69,,64.19,55.29,58.06
Safeway,505307561.0,,50.89,,,51.39,51.14
Safeway,505693127.0,,,,,26.39,26.39
Safeway,506238955.0,,56.59,,,57.19,56.89
Safeway,506732002.0,,54.59,,,55.09,54.84
Safeway,506754007.0,,49.19,,57.69,49.69,52.19
Safeway,507203618.0,,25.79,,,25.99,25.89
Safeway,508453812.0,,40.69,,,41.09,40.89
Safeway,508604923.0,,41.59,,,41.99,41.79
Safeway,509056495.0,,,,,23.89,23.89
Safeway,509116779.0,,1.39,,,1.39,1.39
Safeway,509419735.0,,38.19,,44.79,,41.49
Safeway,513172706.0,,,,,5.29,5.29
Safeway,514293895.0,,39.29,,46.09,39.69,41.69
Safeway,514730047.0,,42.69,,,43.19,42.94
Safeway,514805290.0,,6.39,,,6.49,6.44
Safeway,514912132.0,,39.59,,,39.99,39.79
Safeway,514987291.0,,54.89,,,55.49,55.19
Safeway,516205909.0,,33.89,,,34.29,34.09
Safeway,517769564.0,,19.49,,,19.69,19.59
Safeway,518047270.0,,27.49,,,27.79,27.64
Safeway,523773926.0,,12.49,,,12.59,12.54
Safeway,525505777.0,,,,,,
Safeway,525996730.0,,45.19,,,45.59,45.39
Safeway,526069074.0,,8.89,,,,8.89
Safeway,526212256.0,,31.59,,,31.89,31.74
Safeway,526328901.0,,1.89,,,,1.89
Safeway,529559570.0,,7.89,,,7.99,7.94
Safeway,529968586.0,,,,,35.39,35.39
Safeway,531197407.0,,24.39,,,24.69,24.54
Safeway,531867954.0,,51.89,,60.79,52.39,55.02
Safeway,533704030.0,,55.29,,,,55.29
Safeway,534498710.0,,51.09,,,51.69,51.39
Safeway,534500231.0,,51.39,,,51.89,51.64
Safeway,535286391.0,,29.09,,34.19,,31.64
Safeway,535529908.0,,2.29,,2.69,2.29,2.42
Safeway,536411687.0,,39.29,,,,39.29
Safeway,537045183.0,,16.49,,,16.59,16.54
Safeway,538593323.0,,17.89,,20.99,18.09,18.99
Safeway,538783344.0,,48.79,,,49.29,49.04
Safeway,541222561.0,,2.89,,3.39,,3.14
Safeway,541553073.0,,31.09,,,31.39,31.24
Safeway,541944658.0,,40.69,,,,40.69
Safeway,542244776.0,,34.59,,40.59,34.89,36.69
Safeway,543464804.0,,,,,19.49,19.49
Safeway,544719559.0,,44.39,,,44.89,44.64
Safeway,545019950.0,,57.19,,,57.79,57.49
Safeway,545133835.0,,32.69,,,32.99,32.84
Safeway,545319478.0,,53.59,,,54.09,53.84
